,store,sido,gugun,address
1283,주안역  ,인천광역시,미추홀구,"인천광역시 미추홀구 주안로 100 (주안동) 1층,2층1522-3232"
1284,인하대  ,인천광역시,미추홀구,인천광역시 미추홀구 인하로 59 (용현동)1522-3232
1285,제물포역DT  ,인천광역시,미추홀구,인천광역시 미추홀구 경인로 103 (숭의동)1522-3232
1286,인천주안DT  ,인천광역시,미추홀구,인천광역시 미추홀구 인주대로 443 (주안동)1522-3232
1287,인하대역  ,인천광역시,미추홀구,인천광역시 미추홀구 독배로 309 (용현동)1522-3232
1288,SSG랜더스필드2F  ,인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 618 (문학동)1522-3232
1289,SSG랜더스필드1F  ,인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 618 (문학동)1522-3232
1290,인천용일사거리DT  ,인천광역시,미추홀구,인천광역시 미추홀구 한나루로 525 (주안동)1522-3232
1291,송림트레이더스  ,인천광역시,동구,"인천광역시 동구 봉수대로 82, 이마트 트레이더스송림점1층 (송림동)1522-3232"
1292,인천갈산DT  ,인천광역시,부평구,인천광역시 부평구 장제로 371 (갈산동)1522-3232
1293,인천삼산  ,인천광역시,부평구,인천광역시 부평구 길주로 643 (삼산동)1522-3232
1294,부평사거리  ,인천광역시,부평구,"인천광역시 부평구 부평문화로 52, 1~2층 (부평동)1522-3232"
1295,부평시장역  ,인천광역시,부평구,"인천광역시 부평구 부평대로 60, 현대해상화재보험 1층 (부평동)1522-3232"
1296,부평  ,인천광역시,부평구,인천광역시 부평구 경원대로 1397 (부평동)1522-3232
1297,동암역  ,인천광역시,부평구,"인천광역시 부평구 동암광장로 14, 1~2층 (십정동)1522-3232"
1298,부평역  ,인천광역시,부평구,"인천광역시 부평구 경원대로 1377, 1-4층 (부평동)1522-3232"
1299,부평GM  ,인천광역시,부평구,인천광역시 부평구 부평대로 233 (청천동)1522-3232
1300,인천스퀘어원  ,인천광역시,연수구,인천광역시 연수구 청능대로 210 (동춘동)1522-3232
1301,인천동춘DT  ,인천광역시,연수구,인천광역시 연수구 앵고개로 171 (동춘동)1522-3232
1302,인천송도  ,인천광역시,연수구,"인천광역시 연수구 컨벤시아대로 55 (송도동, 송도이안)1522-3232"
1303,송도트리플R  ,인천광역시,연수구,인천광역시 연수구 송도과학로16번길 33-1 (송도동)1522-3232
1304,인천송도DT  ,인천광역시,연수구,인천광역시 연수구 하모니로 136 (송도동)1522-3232
1305,인천연수  ,인천광역시,연수구,"인천광역시 연수구 용담로 115 (연수동) 105,106,203호1522-3232"
1306,송도캠퍼스타운역  ,인천광역시,연수구,인천광역시 연수구 송도과학로27번길 55 (송도동) 롯데캠퍼스타운1522-3232
1307,송도커넬워크  ,인천광역시,연수구,인천광역시 연수구 아트센터대로 131 (송도동)1522-3232
1308,송도센트럴파크  ,인천광역시,연수구,인천광역시 연수구 센트럴로 194 (송도동)1522-3232
1309,연수이마트  ,인천광역시,연수구,인천광역시 연수구 경원대로 184 (동춘동)1522-3232
1310,송도캐슬파크  ,인천광역시,연수구,인천광역시 연수구 인천타워대로132번길 9 (송도동)1522-3232
1311,송도현대아울렛  ,인천광역시,연수구,인천광역시 연수구 송도국제대로 123 (송도동)1522-3232
1312,송도컨벤시아대로DT  ,인천광역시,연수구,인천광역시 연수구 벤처로 10 (송도동)1522-3232
1313,검단사거리역  ,인천광역시,서구,인천광역시 서구 완정로 172 (마전동)1522-3232
1314,인천청라센트럴  ,인천광역시,서구,"인천광역시 서구 청라커낼로 300 (청라동, 청라센트럴에일린의뜰)1522-3232"
1315,인천청라한신  ,인천광역시,서구,인천광역시 서구 청라커낼로260번길 27 (청라동)1522-3232
1316,인천당하DT  ,인천광역시,서구,인천광역시 서구 원당대로 668 (당하동)1522-3232
1317,인천청라타워돔  ,인천광역시,서구,인천광역시 서구 중봉대로 612번길 10-171522-3232
1318,인천서구청DT  ,인천광역시,서구,인천광역시 서구 서곶로 277 (심곡동)1522-3232
1319,인천청라  ,인천광역시,서구,인천광역시 서구 중봉대로 586번길 191522-3232
